ID_PESSOA,IDADE,TEMPO_SERVICO,TIPO_PESSOA,SEXO,EST_CIVIL,TEM_CONSIG,QTD_CONSIG
460,48,28.59,ATIVO,M,CAS,N,0
463,60,,PEN,F,CAS,N,0
469,53,27.65,ATIVO,M,CAS,N,14
470,53,27.65,INAT,M,CAS,N,12
472,50,28.2,ATIVO,M,CAS,N,2
473,62,,PEN,F,SOL,N,0
474,54,28.19,INAT,M,CAS,N,0
475,47,28.15,ATIVO,M,DIV,N,15
476,49,27.56,ATIVO,M,DIV,N,2
477,46,28.19,ATIVO,M,CAS,N,4
478,50,28.2,ATIVO,M,CAS,N,5
479,48,28.19,ATIVO,M,CAS,N,3
480,51,28.2,ATIVO,M,CAS,N,2
481,46,28.2,ATIVO,M,CAS,N,2
482,53,28.19,INAT,M,CAS,N,8
483,43,27.53,ATIVO,M,DIV,N,2
484,53,28.19,ATIVO,M,CAS,N,0
485,59,40.65,INAT,M,DIV,N,3
486,48,28.2,ATIVO,M,CAS,N,2
487,78,,PEN,F,SOL,N,0
488,84,,PEN,F,CAS,S,0
489,68,,PEN,F,SOL,N,5
490,95,,PEN,F,CAS,N,1
491,67,,PEN,F,DIV,N,0
492,70,,PEN,F,SOL,S,0
493,88,,PEN,F,VIU,N,1
494,75,,PEN,F,VIU,N,7
495,45,26.15,ATIVO,M,CON,S,0
496,68,,PEN,F,VIU,N,12
497,86,,PEN,F,SOL,N,0
498,53,,PEN,F,SOL,N,4
499,59,,PEN,F,CAS,N,1
500,75,,PEN,F,DIV,N,0
501,62,,PEN,F,SOL,N,0
502,53,,PEN,F,SOL,N,0
503,54,,PEN,F,SOL,N,3
504,90,,PEN,F,VIU,N,0
505,52,33.66,ATIVO,M,CAS,N,6
506,53,33.66,INAT,M,CAS,N,0
507,67,,PEN,F,CAS,N,1
508,75,,PEN,F,SOL,S,20
509,84,,PEN,F,CAS,N,4
510,91,,PEN,F,VIU,N,0
511,65,,PEN,F,CAS,N,0
512,81,,PEN,F,VIU,N,1
513,57,,PEN,F,SOL,N,4
514,86,,PEN,F,VIU,N,1
515,86,,PEN,F,VIU,N,1
516,72,,PEN,F,CAS,N,1
517,51,,PEN,F,SOL,N,15
518,84,,PEN,F,VIU,N,0
519,96,,PEN,F,CAS,N,1
520,72,,PEN,F,SOL,N,0
521,91,,PEN,F,VIU,N,0
522,73,,PEN,F,CAS,N,0
523,92,,PEN,F,CAS,N,4
524,71,,PEN,F,CAS,N,0
525,65,,PEN,F,CAS,N,2
526,71,,PEN,F,SOL,N,0
527,73,,PEN,F,SOL,N,0
528,75,,PEN,F,CAS,N,0
529,95,,PEN,F,VIU,N,3
530,83,,PEN,F,SOL,N,3
531,63,,PEN,F,SOL,N,1
532,70,,PEN,F,DIV,S,0
533,78,,PEN,F,CAS,N,0
534,76,,PEN,F,VIU,N,5
535,79,,PEN,F,VIU,S,1
536,78,,PEN,F,CAS,N,0
537,66,,PEN,F,SOL,N,4
538,83,,PEN,F,VIU,N,1
539,62,,PEN,F,SOL,N,3
540,75,,PEN,F,CAS,S,0
541,79,,PEN,F,DIV,N,0
542,76,,PEN,F,VIU,N,0
543,62,,PEN,F,CON,N,0
544,62,,PEN,F,SEP,N,0
545,58,,PEN,F,SOL,S,1
546,72,,PEN,F,CAS,N,2
547,62,,PEN,F,DES,N,6
548,94,,PEN,F,VIU,N,0
549,62,,PEN,F,SOL,N,4
550,63,,PEN,F,DIV,N,1
551,79,,PEN,F,VIU,N,0
552,82,,PEN,F,CAS,N,2
553,87,,PEN,F,CAS,S,0
554,73,,PEN,F,SOL,N,7
555,66,,PEN,F,SOL,N,2
556,80,,PEN,F,VIU,N,0
557,62,,PEN,F,CAS,N,4
558,61,,PEN,F,SOL,S,1
559,102,,PEN,F,DES,N,0
560,53,,PEN,F,SOL,N,8
561,85,,PEN,F,CAS,N,0
562,95,,PEN,F,SOL,S,2
563,70,,PEN,F,CAS,N,3
564,103,,PEN,F,VIU,S,0
565,68,,PEN,F,SOL,N,5
566,52,33.65,INAT,M,CAS,N,3
567,51,33.65,ATIVO,M,CAS,S,9
568,52,33.65,INAT,M,CAS,S,3
569,52,33.65,INAT,M,CAS,S,3
570,38,18.15,ATIVO,M,CAS,S,1
571,84,,PEN,F,VIU,N,2
572,78,,PEN,F,SOL,N,8
573,61,,PEN,F,SOL,N,2
574,76,,PEN,F,CAS,N,0
575,91,,PEN,F,SOL,N,0
576,90,,PEN,F,SOL,N,1
577,79,,PEN,F,CAS,N,3
578,53,,PEN,F,SOL,N,7
579,60,,PEN,F,SOL,N,1
580,83,,PEN,F,CAS,N,1
581,84,,PEN,F,VIU,N,0
582,83,,PEN,F,VIU,N,1
583,75,,PEN,F,VIU,N,4
584,89,,PEN,F,SOL,N,0
585,78,,PEN,F,VIU,N,2
586,93,,PEN,F,VIU,N,0
587,52,33.15,INAT,M,CON,N,1
588,52,33.15,INAT,M,CAS,N,4
589,56,,PEN,F,CAS,N,2
590,50,,PEN,F,SOL,S,9
591,78,,PEN,F,VIU,N,5
592,92,,PEN,F,VIU,N,0
593,89,,PEN,F,VIU,N,0
594,92,,PEN,F,VIU,S,0
595,64,,PEN,F,SOL,N,0
596,69,,PEN,F,SOL,N,0
597,68,,PEN,F,SOL,N,6
598,87,,PEN,F,VIU,N,1
599,61,,PEN,F,SOL,N,1
600,49,,PEN,F,SOL,N,4
601,70,,PEN,F,SOL,N,0
602,70,,PEN,F,SOL,N,0
603,69,,PEN,F,SOL,S,4
604,93,,PEN,F,VIU,N,1
605,76,,PEN,F,SOL,N,0
606,80,,PEN,F,CAS,S,0
607,50,,PEN,F,SOL,N,1
608,68,,PEN,F,CAS,N,0
609,60,,PEN,F,SOL,S,0
610,75,,PEN,F,DES,N,0
611,84,,PEN,F,CAS,N,0
612,72,,PEN,F,VIU,N,1
613,70,,PEN,F,VIU,S,2
614,97,,PEN,F,SOL,S,1
615,89,,PEN,F,VIU,N,2
616,69,,PEN,F,VIU,S,0
617,72,,PEN,F,VIU,N,2
618,65,,PEN,F,SOL,N,0
619,55,,PEN,F,SOL,N,7
620,50,32.65,INAT,M,CAS,S,7
621,51,32.65,INAT,M,CON,N,5
622,45,26.15,ATIVO,M,CAS,S,12
623,45,26.15,ATIVO,M,CAS,S,0
624,60,,PEN,F,CAS,N,0
625,71,,PEN,F,VIU,N,0
626,68,,PEN,F,SOL,S,0
627,52,33.15,INAT,M,CON,S,7
628,52,33.15,INAT,M,CAS,S,3
629,51,33.15,ATIVO,M,CAS,N,4
630,51,33.15,ATIVO,M,CAS,S,4
631,52,33.15,INAT,M,CAS,N,3
632,54,32.67,INAT,M,DIV,N,0
633,52,33.66,INAT,M,CAS,N,0
634,78,,PEN,F,CAS,S,2
635,79,,PEN,F,VIU,S,1
636,86,,PEN,F,CAS,N,1
637,68,,PEN,F,VIU,N,2
638,97,,PEN,F,VIU,S,0
639,86,,PEN,F,VIU,N,0
640,92,,PEN,F,VIU,N,0
641,76,,PEN,F,VIU,N,2
642,95,,PEN,F,VIU,S,0
643,75,,PEN,F,CAS,N,5
644,83,,PEN,F,SOL,N,3
645,83,,PEN,F,VIU,S,4
646,66,,PEN,F,CAS,N,0
647,64,,PEN,F,VIU,S,6
648,51,,PEN,F,SOL,S,1
649,75,,PEN,F,CAS,N,0
650,45,,PEN,F,CAS,N,7
651,69,,PEN,F,SOL,S,0
652,68,,PEN,F,DIV,N,3
653,64,,PEN,F,SEP,S,4
654,81,,PEN,F,DIV,S,0
655,74,,PEN,F,VIU,N,0
656,84,,PEN,F,VIU,S,1
657,74,,PEN,F,VIU,S,6
658,69,,PEN,F,CAS,N,1
659,80,,PEN,F,VIU,S,1
660,60,,PEN,F,SOL,N,3
661,57,,PEN,F,CAS,N,0
662,71,,PEN,F,SOL,N,2
663,65,,PEN,F,SOL,S,3
664,52,,PEN,F,CAS,S,11
665,70,,PEN,F,SOL,S,18
666,91,,PEN,F,VIU,S,0
667,82,,PEN,F,VIU,S,0
668,68,,PEN,F,VIU,S,0
669,77,,PEN,F,SEP,S,1
670,72,,PEN,F,SOL,S,0
671,56,,PEN,F,SOL,S,0
672,87,,PEN,F,SOL,S,0
673,72,,PEN,F,SOL,S,0
674,76,,PEN,F,VIU,S,2
675,79,,PEN,F,VIU,S,1
676,65,,PEN,F,CAS,S,0
677,63,,PEN,F,SEP,S,4
678,90,,PEN,F,CAS,S,0
679,91,,PEN,F,VIU,S,0
680,78,,PEN,F,VIU,S,0
681,87,,PEN,F,VIU,N,2
682,77,,PEN,F,VIU,N,3
683,68,,PEN,F,SOL,S,5
684,69,,PEN,F,SOL,S,11
685,69,,PEN,F,SEP,S,1
686,73,,PEN,F,VIU,S,12
687,82,,PEN,F,VIU,S,0
688,82,,PEN,F,VIU,S,1
689,82,,PEN,F,SOL,S,1
690,58,,PEN,F,SOL,N,1
691,57,,PEN,F,DIV,S,11
692,73,,PEN,M,SOL,S,0
693,61,,PEN,F,SEP,S,2
694,60,,PEN,F,DIV,N,1
695,73,,PEN,F,SEP,N,0
696,64,,PEN,F,CAS,S,1
697,95,,PEN,F,VIU,S,1
698,71,,PEN,F,CAS,S,0
699,54,,PEN,F,SOL,N,1
700,90,,PEN,F,VIU,N,1
701,71,,PEN,F,CAS,S,0
702,66,,PEN,F,SEP,S,0
703,64,,PEN,F,SOL,N,0
704,59,,PEN,F,CAS,S,1
705,73,,PEN,F,CAS,S,11
706,89,,PEN,F,VIU,S,0
707,71,,PEN,M,SOL,S,0
708,90,,PEN,F,VIU,N,0
709,88,,PEN,F,VIU,S,0
710,60,,PEN,F,SOL,S,0
711,63,,PEN,F,CAS,N,2
712,58,,PEN,F,SOL,N,1
713,77,,PEN,F,VIU,S,14
714,62,,PEN,F,CAS,S,0
715,57,,PEN,F,SOL,N,0
716,87,,PEN,F,CAS,N,1
717,79,,PEN,F,VIU,N,2
718,76,,PEN,F,VIU,N,3
719,75,,PEN,F,SOL,S,13
720,86,,PEN,F,VIU,S,0
721,79,,PEN,F,VIU,N,1
722,89,,PEN,F,VIU,S,0
723,55,,PEN,F,SOL,S,4
724,70,,PEN,F,SOL,S,1
725,98,,PEN,F,SOL,N,4
726,65,,PEN,F,SOL,S,23
